company_name,total_sales
Alfreds Futterkiste,626.9200000000001
Ana Trujillo Emparedados y helados,359.42
Antonio Moreno Taquería,1844.1200000000001
Around the Horn,1792.86
B's Beverages,1176.15
Berglunds snabbköp,6038.95
Blauer See Delikatessen,999.0
Blondesddsl père et fils,2736.84
Bon app',5609.18
Bottom-Dollar Markets,3519.15
Bólido Comidas preparadas,638.15
Cactus Comidas para llevar,539.84
Centro comercial Moctezuma,9.75
Chop-suey Chinese,2072.84
Comércio Mineiro,762.91
Consolidated Holdings,462.43
Die Wandernde Kuh,2404.1
Drachenblut Delikatessen,1219.26
Du monde entier,426.28
Eastern Connection,3653.12
Ernst Handel,32251.67
Familia Arquibaldo,1575.09
Folies gourmandes,1864.53
Folk och fä HB,8836.380000000001
France restauration,990.4599999999999
Franchi S.p.A.,284.11
Frankenversand,3971.14
Furia Bacalhau e Frutos do Mar,856.34
GROSELLA-Restaurante,268.18
Galería del gastrónomo,130.51000000000002
Godos Cocina Típica,3538.0099999999998
Gourmet Lanchonetes,907.69
Great Lakes Food Market,3406.72
HILARION-Abastos,7318.75
Hanari Carnes,2680.52
Hungry Coyote Import Store,722.51
Hungry Owl All-Night Grocers,15246.31
Island Trading,1819.24
Königlich Essen,3206.11
LILA-Supermercado,3088.83
LINO-Delicateses,2642.37
La corne d'abondance,502.84999999999997
La maison d'Asie,4008.59
Laughing Bacchus Wine Cellars,55.49
Lazy K Kountry Store,62.64
Lehmanns Marktstand,5918.7
Let's Stop N Shop,735.98
Lonesome Pine Restaurant,246.56
Magazzini Alimentari Riuniti,2895.25
Maison Dewey,2071.56
Morgenstern Gesundkost,2037.27
Mère Paillarde,6698.42
North/South,154.53
Océano Atlántico Ltda.,1571.3700000000001
Old World Delicatessen,4077.66
Ottilies Käseladen,3603.66
Pericles Comidas clásicas,1555.52
Piccolo und mehr,8026.3
Princesa Isabel Vinhos,1772.34
QUICK-Stop,27468.989999999998
Que Delícia,1403.83
Queen Cozinha,13382.95
Rancho grande,963.51
Rattlesnake Canyon Grocery,9134.43
Reggiani Caseifici,1810.18
Ricardo Adocicados,3174.62
Richter Supermarkt,6137.01
Romero y tomillo,317.81
Santé Gourmet,1134.56
Save-a-lot Markets,39001.21
Seven Seas Imports,5228.76
Simons bistro,2093.08
Split Rail Beer & Ale,1964.05
Spécialités du monde,477.44
Suprêmes délices,5731.72
The Big Cheese,1754.8
The Cracker Box,546.54
Toms Spezialitäten,689.04
Tortuga Restaurante,1777.81
Tradição Hipermercados,1155.3700000000001
Trail's Head Gourmet Provisioners,325.67
Vaffeljernet,3028.0699999999997
Victuailles en stock,1465.26
Vins et alcools Chevalier,363.61
Wartian Herkku,4019.44
Wellington Importadora,823.54
White Clover Markets,7304.900000000001
Wilman Kala,449.7
Wolski  Zajazd,729.26
