column,missing_percentage,table
shipper_id,0.0,dim_shippers
company_name,0.0,dim_shippers
phone,0.0,dim_shippers
state_id,0.0,dim_us_states
state_name,0.0,dim_us_states
state_abbr,0.0,dim_us_states
state_region,0.0,dim_us_states
category_id,0.0,dim_categories
category_name,0.0,dim_categories
description,0.0,dim_categories
picture,0.0,dim_categories
supplier_id,0.0,dim_suppliers
company_name,0.0,dim_suppliers
contact_name,0.0,dim_suppliers
contact_title,0.0,dim_suppliers
address,0.0,dim_suppliers
city,0.0,dim_suppliers
region,0.0,dim_suppliers
postal_code,0.0,dim_suppliers
country,0.0,dim_suppliers
phone,0.0,dim_suppliers
fax,0.0,dim_suppliers
homepage,0.0,dim_suppliers
customer_id,0.0,dim_customers
company_name,0.0,dim_customers
contact_name,0.0,dim_customers
contact_title,0.0,dim_customers
address,0.0,dim_customers
city,0.0,dim_customers
region,0.0,dim_customers
postal_code,0.0,dim_customers
country,0.0,dim_customers
phone,0.0,dim_customers
fax,0.0,dim_customers
employee_id,0.0,dim_employees
last_name,0.0,dim_employees
first_name,0.0,dim_employees
title,0.0,dim_employees
title_of_courtesy,0.0,dim_employees
birth_date,0.0,dim_employees
hire_date,0.0,dim_employees
address,0.0,dim_employees
city,0.0,dim_employees
region,0.0,dim_employees
postal_code,0.0,dim_employees
country,0.0,dim_employees
home_phone,0.0,dim_employees
extension,0.0,dim_employees
photo,0.0,dim_employees
notes,0.0,dim_employees
reports_to,0.0,dim_employees
photo_path,0.0,dim_employees
region_id,0.0,dim_region
region_description,0.0,dim_region
customer_type_id,,dim_customer_demographics
customer_desc,,dim_customer_demographics
territory_id,0.0,dim_territories
territory_description,0.0,dim_territories
region_id,0.0,dim_territories
customer_id,,dim_customer_customer_demo
customer_type_id,,dim_customer_customer_demo
employee_id,0.0,dim_employee_territories
territory_id,0.0,dim_employee_territories
product_id,0.0,dim_products
product_name,0.0,dim_products
supplier_id,0.0,dim_products
category_id,0.0,dim_products
quantity_per_unit,0.0,dim_products
unit_price,0.0,dim_products
units_in_stock,0.0,dim_products
units_on_order,0.0,dim_products
reorder_level,0.0,dim_products
discontinued,0.0,dim_products
order_id,0.0,fact_orders
customer_id,0.0,fact_orders
employee_id,0.0,fact_orders
order_date,0.0,fact_orders
required_date,0.0,fact_orders
shipped_date,0.0,fact_orders
ship_via,0.0,fact_orders
freight,0.0,fact_orders
ship_name,0.0,fact_orders
ship_address,0.0,fact_orders
ship_city,0.0,fact_orders
ship_region,0.0,fact_orders
ship_postal_code,0.0,fact_orders
ship_country,0.0,fact_orders
order_id,0.0,fact_order_details
product_id,0.0,fact_order_details
unit_price,0.0,fact_order_details
quantity,0.0,fact_order_details
discount,0.0,fact_order_details
